dateTime,059793,F2470,L2471,L2472,L2478
2023-10-16 08:45:00+00:00,0.0,0.847,7.559,5.357,0.499
2023-10-16 09:00:00+00:00,0.0,0.846,7.561,5.357,0.498
2023-10-16 09:15:00+00:00,0.0,0.846,7.565,5.357,0.498
2023-10-16 09:30:00+00:00,0.0,0.845,7.563,5.357,0.498
2023-10-16 09:45:00+00:00,0.0,0.845,7.563,5.357,0.498
2023-10-16 10:00:00+00:00,0.0,0.844,7.563,5.357,0.498
2023-10-16 10:15:00+00:00,0.0,0.844,7.564,5.357,0.498
2023-10-16 10:30:00+00:00,0.0,0.843,7.563,5.357,0.497
2023-10-16 10:45:00+00:00,0.0,0.843,7.565,5.357,0.497
2023-10-16 11:00:00+00:00,0.0,0.842,7.563,5.357,0.497
2023-10-16 11:15:00+00:00,0.0,0.841,7.565,5.357,0.497
2023-10-16 11:30:00+00:00,0.0,0.841,7.563,5.357,0.497
2023-10-16 11:45:00+00:00,0.0,0.84,7.561,5.357,0.497
2023-10-16 12:00:00+00:00,0.0,0.84,7.562,5.357,0.496
2023-10-16 12:15:00+00:00,0.0,0.839,7.563,5.357,0.496
2023-10-16 12:30:00+00:00,0.0,0.839,7.565,5.357,0.496
2023-10-16 12:45:00+00:00,0.0,0.838,7.565,5.357,0.495
2023-10-16 13:00:00+00:00,0.0,0.838,7.563,5.357,0.495
2023-10-16 13:15:00+00:00,0.0,0.838,7.564,5.357,0.495
2023-10-16 13:30:00+00:00,0.0,0.837,7.564,5.357,0.495
2023-10-16 13:45:00+00:00,0.0,0.836,7.563,5.357,0.494
2023-10-16 14:00:00+00:00,0.0,0.836,7.564,5.346,0.494
2023-10-16 14:15:00+00:00,0.0,0.835,7.567,5.345,0.494
2023-10-16 14:30:00+00:00,0.0,0.835,7.564,5.343,0.493
2023-10-16 14:45:00+00:00,0.0,0.835,7.563,5.342,0.493
2023-10-16 15:00:00+00:00,0.0,0.834,7.564,5.343,0.493
2023-10-16 15:15:00+00:00,0.0,0.834,7.562,5.345,0.492
2023-10-16 15:30:00+00:00,0.0,0.834,7.564,5.341,0.492
2023-10-16 15:45:00+00:00,0.0,0.833,7.56,5.341,0.492
2023-10-16 16:00:00+00:00,0.0,0.833,7.562,5.341,0.492
2023-10-16 16:15:00+00:00,0.0,0.833,7.565,5.341,0.491
2023-10-16 16:30:00+00:00,0.0,0.832,7.564,5.339,0.491
2023-10-16 16:45:00+00:00,0.0,0.832,7.561,5.342,0.491
2023-10-16 17:00:00+00:00,0.0,0.832,7.562,5.341,0.49
2023-10-16 17:15:00+00:00,0.0,0.832,7.561,5.341,0.491
2023-10-16 17:30:00+00:00,0.0,0.832,7.564,5.34,0.491
2023-10-16 17:45:00+00:00,0.0,0.831,7.563,5.34,0.49
2023-10-16 18:00:00+00:00,0.0,0.831,7.561,5.341,0.49
2023-10-16 18:15:00+00:00,0.0,0.831,7.559,5.342,0.489
2023-10-16 18:30:00+00:00,0.0,0.831,7.56,5.34,0.489
2023-10-16 18:45:00+00:00,0.0,0.831,7.56,5.339,0.488
2023-10-16 19:00:00+00:00,0.0,0.831,7.563,5.338,0.488
2023-10-16 19:15:00+00:00,0.0,0.83,7.56,5.339,0.488
2023-10-16 19:30:00+00:00,0.0,0.83,7.561,5.339,0.487
2023-10-16 19:45:00+00:00,0.0,0.83,7.564,5.337,0.486
2023-10-16 20:00:00+00:00,0.0,0.83,7.563,5.335,0.485
2023-10-16 20:15:00+00:00,0.0,0.83,7.561,5.336,0.484
2023-10-16 20:30:00+00:00,0.0,0.83,7.563,5.336,0.484
2023-10-16 20:45:00+00:00,0.0,0.829,7.563,5.335,0.484
2023-10-16 21:00:00+00:00,0.0,0.829,7.563,5.335,0.484
2023-10-16 21:15:00+00:00,0.0,0.829,7.561,5.336,0.483
2023-10-16 21:30:00+00:00,0.0,0.829,7.564,5.334,0.483
2023-10-16 21:45:00+00:00,0.0,0.828,7.561,5.334,0.483
2023-10-16 22:00:00+00:00,0.0,0.828,7.562,5.335,0.483
2023-10-16 22:15:00+00:00,0.0,0.828,7.563,5.333,0.482
2023-10-16 22:30:00+00:00,0.0,0.828,7.56,5.334,0.482
2023-10-16 22:45:00+00:00,0.0,0.827,7.563,5.334,0.482
2023-10-16 23:00:00+00:00,0.0,0.827,7.56,5.334,0.481
2023-10-16 23:15:00+00:00,0.0,0.827,7.563,5.333,0.482
2023-10-16 23:30:00+00:00,0.0,0.827,7.561,5.335,0.481
2023-10-16 23:45:00+00:00,0.0,0.827,7.561,5.332,0.481
