dateTime,059793,F2470,L2471,L2472,L2478
2023-10-15 19:15:00+00:00,0.0,0.875,7.561,5.384,0.532
2023-10-15 19:30:00+00:00,0.0,0.875,7.561,5.382,0.532
2023-10-15 19:45:00+00:00,0.0,0.874,7.561,5.384,0.531
2023-10-15 20:00:00+00:00,0.0,0.874,7.562,5.38,0.53
2023-10-15 20:15:00+00:00,0.0,0.873,7.56,5.379,0.529
2023-10-15 20:30:00+00:00,0.0,0.873,7.558,5.38,0.528
2023-10-15 20:45:00+00:00,0.0,0.872,7.56,5.38,0.528
2023-10-15 21:00:00+00:00,0.0,0.872,7.564,5.379,0.527
2023-10-15 21:15:00+00:00,0.0,0.871,7.561,5.377,0.526
2023-10-15 21:30:00+00:00,0.0,0.871,7.563,5.377,0.526
2023-10-15 21:45:00+00:00,0.0,0.87,7.562,5.378,0.525
2023-10-15 22:00:00+00:00,0.0,0.87,7.559,5.377,0.525
2023-10-15 22:15:00+00:00,0.0,0.869,7.559,5.374,0.524
2023-10-15 22:30:00+00:00,0.0,0.868,7.56,5.375,0.523
2023-10-15 22:45:00+00:00,0.0,0.868,7.559,5.375,0.523
2023-10-15 23:00:00+00:00,0.0,0.867,7.56,5.372,0.522
2023-10-15 23:15:00+00:00,0.0,0.866,7.559,5.375,0.522
2023-10-15 23:30:00+00:00,0.0,0.866,7.561,5.372,0.521
2023-10-15 23:45:00+00:00,0.0,0.866,7.56,5.373,0.52
