dateTime,059793,F2470,L2471,L2472,L2478
2023-10-15 00:00:00+00:00,0.0,0.97,7.562,5.451,0.631
2023-10-15 00:15:00+00:00,0.0,0.968,7.565,5.448,0.629
2023-10-15 00:30:00+00:00,0.0,0.966,7.563,5.448,0.627
2023-10-15 00:45:00+00:00,0.0,0.964,7.566,5.449,0.625
2023-10-15 01:00:00+00:00,0.0,0.962,7.563,5.448,0.623
2023-10-15 01:15:00+00:00,0.0,0.96,7.561,5.45,0.621
2023-10-15 01:30:00+00:00,0.0,0.959,7.558,5.447,0.62
2023-10-15 01:45:00+00:00,0.0,0.957,7.56,5.447,0.618
2023-10-15 02:00:00+00:00,0.0,0.955,7.564,5.445,0.616
2023-10-15 02:15:00+00:00,0.0,0.953,7.561,5.443,0.615
2023-10-15 02:30:00+00:00,0.0,0.952,7.564,5.44,0.613
2023-10-15 02:45:00+00:00,0.0,0.95,7.561,5.443,0.611
2023-10-15 03:00:00+00:00,0.0,0.948,7.563,5.442,0.609
2023-10-15 03:15:00+00:00,0.0,0.947,7.561,5.441,0.608
2023-10-15 03:30:00+00:00,0.0,0.945,7.56,5.438,0.606
2023-10-15 03:45:00+00:00,0.0,0.943,7.564,5.437,0.604
2023-10-15 04:00:00+00:00,0.0,0.941,7.558,5.44,0.602
2023-10-15 04:15:00+00:00,0.0,0.94,7.559,5.436,0.602
2023-10-15 04:30:00+00:00,0.0,0.938,7.56,5.438,0.599
2023-10-15 04:45:00+00:00,0.0,0.936,7.561,5.435,0.598
2023-10-15 05:00:00+00:00,0.0,0.935,7.561,5.433,0.596
2023-10-15 05:15:00+00:00,0.0,0.933,7.556,5.433,0.595
2023-10-15 05:30:00+00:00,0.0,0.932,7.56,5.435,0.593
2023-10-15 05:45:00+00:00,0.0,0.931,7.562,5.43,0.592
2023-10-15 06:00:00+00:00,0.0,0.929,7.56,5.43,0.59
2023-10-15 06:15:00+00:00,0.0,0.928,7.56,5.427,0.589
2023-10-15 06:30:00+00:00,0.0,0.926,7.56,5.426,0.587
2023-10-15 06:45:00+00:00,0.0,0.925,7.561,5.426,0.586
2023-10-15 07:00:00+00:00,0.0,0.924,7.556,5.426,0.584
2023-10-15 07:15:00+00:00,0.0,0.922,7.56,5.423,0.583
2023-10-15 07:30:00+00:00,0.0,0.921,7.56,5.423,0.581
2023-10-15 07:45:00+00:00,0.0,0.919,7.559,5.422,0.58
2023-10-15 08:00:00+00:00,0.0,0.918,7.563,5.421,0.578
2023-10-15 08:15:00+00:00,0.0,0.917,7.561,5.421,0.577
2023-10-15 08:30:00+00:00,0.0,0.916,7.559,5.42,0.576
2023-10-15 08:45:00+00:00,0.0,0.914,7.56,5.416,0.574
2023-10-15 09:00:00+00:00,0.0,0.913,7.558,5.419,0.573
2023-10-15 09:15:00+00:00,0.0,0.912,7.56,5.416,0.572
2023-10-15 09:30:00+00:00,0.0,0.911,7.561,5.414,0.571
2023-10-15 09:45:00+00:00,0.0,0.91,7.561,5.414,0.57
2023-10-15 10:00:00+00:00,0.0,0.908,7.559,5.414,0.568
2023-10-15 10:15:00+00:00,0.0,0.907,7.557,5.412,0.567
2023-10-15 10:30:00+00:00,0.0,0.906,7.56,5.409,0.566
2023-10-15 10:45:00+00:00,0.0,0.904,7.559,5.413,0.565
2023-10-15 11:00:00+00:00,0.0,0.903,7.558,5.409,0.564
2023-10-15 11:15:00+00:00,0.0,0.902,7.556,5.411,0.563
2023-10-15 11:30:00+00:00,0.0,0.901,7.559,5.408,0.562
2023-10-15 11:45:00+00:00,0.0,0.9,7.559,5.405,0.562
2023-10-15 12:00:00+00:00,0.0,0.899,7.56,5.406,0.56
2023-10-15 12:15:00+00:00,0.0,0.899,7.556,5.412,0.56
2023-10-15 12:30:00+00:00,0.0,0.897,7.558,5.41,0.559
2023-10-15 12:45:00+00:00,0.0,0.896,7.562,5.405,0.557
2023-10-15 13:00:00+00:00,0.0,0.895,7.56,5.41,0.556
2023-10-15 13:15:00+00:00,0.0,0.893,7.562,5.4,0.555
2023-10-15 13:30:00+00:00,0.0,0.892,7.56,5.401,0.554
2023-10-15 13:45:00+00:00,0.0,0.891,7.561,5.407,0.553
2023-10-15 14:00:00+00:00,0.0,0.89,7.558,5.404,0.552
2023-10-15 14:15:00+00:00,0.0,0.889,7.561,5.401,0.552
2023-10-15 14:30:00+00:00,0.0,0.888,7.559,5.4,0.55
2023-10-15 14:45:00+00:00,0.0,0.887,7.563,5.397,0.55
2023-10-15 15:00:00+00:00,0.0,0.886,7.56,5.395,0.548
2023-10-15 15:15:00+00:00,0.0,0.886,7.56,5.396,0.547
2023-10-15 15:30:00+00:00,0.0,0.885,7.563,5.395,0.546
2023-10-15 15:45:00+00:00,0.0,0.884,7.561,5.393,0.545
2023-10-15 16:00:00+00:00,0.0,0.883,7.56,5.394,0.544
2023-10-15 16:15:00+00:00,0.0,0.883,7.559,5.392,0.543
2023-10-15 16:30:00+00:00,0.0,0.882,7.561,5.392,0.542
2023-10-15 16:45:00+00:00,0.0,0.881,7.558,5.393,0.542
2023-10-15 17:00:00+00:00,0.0,0.88,7.564,5.39,0.541
2023-10-15 17:15:00+00:00,0.0,0.88,7.564,5.39,0.54
2023-10-15 17:30:00+00:00,0.0,0.879,7.561,5.388,0.538
2023-10-15 17:45:00+00:00,0.0,0.878,7.561,5.39,0.538
2023-10-15 18:00:00+00:00,0.0,0.878,7.56,5.389,0.536
2023-10-15 18:15:00+00:00,0.0,0.878,7.563,5.384,0.536
2023-10-15 18:30:00+00:00,0.0,0.877,7.561,5.387,0.535
2023-10-15 18:45:00+00:00,0.0,0.876,7.563,5.384,0.534
2023-10-15 19:00:00+00:00,0.0,0.876,7.565,5.385,0.533
