dateTime,059793,F2470,L2471,L2472,L2478
2023-10-17 00:00:00+00:00,0.0,0.826,7.563,5.332,0.48
2023-10-17 00:15:00+00:00,0.0,0.826,7.561,5.332,0.48
2023-10-17 00:30:00+00:00,0.0,0.826,7.561,5.332,0.48
2023-10-17 00:45:00+00:00,0.0,0.825,7.564,5.329,0.479
2023-10-17 01:00:00+00:00,0.0,0.825,7.563,5.327,0.479
2023-10-17 01:15:00+00:00,0.0,0.825,7.56,5.33,0.479
2023-10-17 01:30:00+00:00,0.0,0.824,7.56,5.33,0.479
2023-10-17 01:45:00+00:00,0.0,0.824,7.561,5.326,0.478
2023-10-17 02:00:00+00:00,0.0,0.824,7.56,5.327,0.478
2023-10-17 02:15:00+00:00,0.0,0.824,7.561,5.328,0.477
2023-10-17 02:30:00+00:00,0.0,0.823,7.563,5.328,0.477
2023-10-17 02:45:00+00:00,0.0,0.823,7.563,5.325,0.476
2023-10-17 03:00:00+00:00,0.0,0.823,7.561,5.327,0.476
2023-10-17 03:15:00+00:00,0.0,0.823,7.563,5.324,0.476
2023-10-17 03:30:00+00:00,0.0,0.823,7.561,5.326,0.475
2023-10-17 03:45:00+00:00,0.0,0.822,7.561,5.323,0.474
2023-10-17 04:00:00+00:00,0.0,0.822,7.564,5.324,0.474
2023-10-17 04:15:00+00:00,0.0,0.822,7.561,5.325,0.474
2023-10-17 04:30:00+00:00,0.0,0.822,7.561,5.323,0.474
2023-10-17 04:45:00+00:00,0.0,0.821,7.56,5.326,0.473
2023-10-17 05:00:00+00:00,0.0,0.821,7.562,5.322,0.473
2023-10-17 05:15:00+00:00,0.0,0.821,7.565,5.321,0.473
2023-10-17 05:30:00+00:00,0.0,0.821,7.561,5.323,0.473
2023-10-17 05:45:00+00:00,0.0,0.821,7.561,5.321,0.473
2023-10-17 06:00:00+00:00,0.0,0.82,7.563,5.321,0.473
2023-10-17 06:15:00+00:00,0.0,0.82,7.562,5.323,0.474
2023-10-17 06:30:00+00:00,0.0,0.82,7.564,5.323,0.474
2023-10-17 06:45:00+00:00,0.0,0.82,7.563,5.323,0.474
2023-10-17 07:00:00+00:00,0.0,0.82,7.562,5.323,0.474
2023-10-17 07:15:00+00:00,0.0,0.82,7.561,5.323,0.475
2023-10-17 07:30:00+00:00,0.0,0.82,7.564,5.323,0.475
2023-10-17 07:45:00+00:00,0.0,0.819,7.561,5.323,0.475
2023-10-17 08:00:00+00:00,0.0,0.819,7.564,5.323,0.475
2023-10-17 08:15:00+00:00,0.0,0.819,7.56,5.323,0.475
2023-10-17 08:30:00+00:00,0.0,0.819,7.561,5.323,0.475
2023-10-17 08:45:00+00:00,0.0,0.819,7.563,5.323,0.476
2023-10-17 09:00:00+00:00,0.0,0.818,7.563,5.323,0.476
2023-10-17 09:15:00+00:00,0.0,0.818,7.561,5.323,0.476
2023-10-17 09:30:00+00:00,0.0,0.818,7.563,5.323,0.476
2023-10-17 09:45:00+00:00,0.0,0.817,7.56,5.323,0.476
2023-10-17 10:00:00+00:00,0.0,0.817,7.563,5.323,0.477
2023-10-17 10:15:00+00:00,0.0,0.817,7.56,5.323,0.476
2023-10-17 10:30:00+00:00,0.0,0.816,7.562,5.323,0.475
2023-10-17 10:45:00+00:00,0.0,0.816,7.561,5.323,0.474
2023-10-17 11:00:00+00:00,0.0,0.816,7.56,5.323,0.474
2023-10-17 11:15:00+00:00,0.0,0.816,7.559,5.323,0.473
2023-10-17 11:30:00+00:00,0.0,0.815,7.558,5.323,0.473
2023-10-17 11:45:00+00:00,0.0,0.814,7.561,5.323,0.473
2023-10-17 12:00:00+00:00,0.0,0.814,7.563,5.323,0.474
2023-10-17 12:15:00+00:00,0.0,0.814,7.561,5.323,0.474
2023-10-17 12:30:00+00:00,0.0,0.813,7.562,5.323,0.476
2023-10-17 12:45:00+00:00,0.0,0.812,7.561,5.323,0.474
2023-10-17 13:00:00+00:00,0.0,0.812,7.563,5.323,0.475
2023-10-17 13:15:00+00:00,0.0,0.811,7.561,5.323,0.475
2023-10-17 13:30:00+00:00,0.0,0.811,7.561,5.323,0.476
2023-10-17 13:45:00+00:00,0.0,0.811,7.562,5.323,0.479
2023-10-17 14:00:00+00:00,0.0,0.81,7.561,5.323,0.48
2023-10-17 14:15:00+00:00,0.0,0.81,7.564,5.314,0.482
2023-10-17 14:30:00+00:00,0.0,0.809,7.56,5.311,0.48
2023-10-17 14:45:00+00:00,0.0,0.809,7.562,5.314,0.479
2023-10-17 15:00:00+00:00,0.0,0.808,7.561,5.309,0.478
2023-10-17 15:15:00+00:00,0.0,0.808,7.561,5.308,0.477
2023-10-17 15:30:00+00:00,0.0,0.808,7.56,5.311,0.474
2023-10-17 15:45:00+00:00,0.0,0.807,7.561,5.312,0.474
2023-10-17 16:00:00+00:00,0.0,0.807,7.561,5.309,0.474
2023-10-17 16:15:00+00:00,0.0,0.807,7.561,5.312,0.473
2023-10-17 16:30:00+00:00,0.0,0.806,7.561,5.313,0.471
2023-10-17 16:45:00+00:00,0.0,0.807,7.562,5.31,0.471
2023-10-17 17:00:00+00:00,0.0,0.806,7.56,5.313,0.47
2023-10-17 17:15:00+00:00,0.0,0.807,7.563,5.312,0.47
2023-10-17 17:30:00+00:00,0.0,0.806,7.562,5.31,0.469
2023-10-17 17:45:00+00:00,0.0,0.806,7.561,5.313,0.468
2023-10-17 18:00:00+00:00,0.0,0.806,7.561,5.312,0.468
2023-10-17 18:15:00+00:00,0.0,0.806,7.563,5.313,0.468
2023-10-17 18:30:00+00:00,0.0,0.806,7.56,5.313,0.468
2023-10-17 18:45:00+00:00,0.0,0.806,7.561,5.313,0.467
2023-10-17 19:00:00+00:00,0.0,0.806,7.561,5.313,0.466
2023-10-17 19:15:00+00:00,0.0,0.806,7.561,5.313,0.467
2023-10-17 19:30:00+00:00,0.0,0.806,7.561,5.314,0.466
2023-10-17 19:45:00+00:00,0.0,0.806,7.559,5.315,0.465
2023-10-17 20:00:00+00:00,0.0,0.806,7.56,5.312,0.465
2023-10-17 20:15:00+00:00,0.0,0.806,7.559,5.312,0.465
2023-10-17 20:30:00+00:00,0.0,0.806,7.56,5.312,0.464
2023-10-17 20:45:00+00:00,0.0,0.806,7.56,5.312,0.464
2023-10-17 21:00:00+00:00,0.0,0.806,7.559,5.313,0.463
2023-10-17 21:15:00+00:00,0.0,0.807,7.561,5.312,0.463
2023-10-17 21:30:00+00:00,0.0,0.807,7.562,5.313,0.463
2023-10-17 21:45:00+00:00,0.0,0.807,7.561,5.311,0.462
2023-10-17 22:00:00+00:00,0.0,0.807,7.559,5.314,0.462
