dateTime,059793,F2470,L2471,L2472,L2478,level,F2470_0.5h,F2470_1.0h,F2470_2.0h,F2470_4.0h,F2470_8.0h,F2470_12.0h,F2470_24.0h,F2470_48.0h,season
2023-10-17 00:00:00+00:00,0.0,0.826,7.563,5.332,0.48,normal,0.826,0.825,0.824,0.822,0.819,0.814,0.807,0.814,3
2023-10-17 00:15:00+00:00,0.0,0.826,7.561,5.332,0.48,normal,0.825,0.825,0.824,0.822,0.819,0.814,0.807,0.814,3
2023-10-17 00:30:00+00:00,0.0,0.826,7.561,5.332,0.48,normal,0.825,0.824,0.823,0.822,0.819,0.813,0.807,0.814,3
2023-10-17 00:45:00+00:00,0.0,0.825,7.564,5.329,0.479,normal,0.825,0.824,0.823,0.821,0.819,0.812,0.807,0.816,3
2023-10-17 01:00:00+00:00,0.0,0.825,7.563,5.327,0.479,normal,0.824,0.824,0.823,0.821,0.818,0.812,0.806,0.817,3
2023-10-17 01:15:00+00:00,0.0,0.825,7.56,5.33,0.479,normal,0.824,0.824,0.823,0.821,0.818,0.811,0.806,0.823,3
2023-10-17 01:30:00+00:00,0.0,0.824,7.56,5.33,0.479,normal,0.824,0.823,0.823,0.821,0.818,0.811,0.806,0.829,3
2023-10-17 01:45:00+00:00,0.0,0.824,7.561,5.326,0.478,normal,0.824,0.823,0.822,0.821,0.817,0.811,0.806,0.831,3
2023-10-17 02:00:00+00:00,0.0,0.824,7.56,5.327,0.478,normal,0.823,0.823,0.822,0.82,0.817,0.81,0.806,0.834,3
2023-10-17 02:15:00+00:00,0.0,0.824,7.561,5.328,0.477,normal,0.823,0.823,0.822,0.82,0.817,0.81,0.806,0.841,3
2023-10-17 02:30:00+00:00,0.0,0.823,7.563,5.328,0.477,normal,0.823,0.823,0.822,0.82,0.816,0.809,0.806,0.855,3
2023-10-17 02:45:00+00:00,0.0,0.823,7.563,5.325,0.476,normal,0.823,0.822,0.821,0.82,0.816,0.809,0.806,0.866,3
2023-10-17 03:00:00+00:00,0.0,0.823,7.561,5.327,0.476,normal,0.823,0.822,0.821,0.82,0.816,0.808,0.806,0.873,3
